Date,Cryptofolio_Index,Bitcoin_Index
28-07-2017,17764.20257,2679.73
29-07-2017,18174.5961,2807.02
30-07-2017,17392.73422,2724.39
31-07-2017,17878.29931,2763.24
01-08-2017,19025.60804,2871.3
02-08-2017,19025.22525,2727.13
03-08-2017,19397.11795,2709.56
04-08-2017,19230.79246,2806.93
05-08-2017,20778.69861,2897.63
06-08-2017,20768.32045,3257.61
07-08-2017,22288.18129,3212.78
08-08-2017,23187.18362,3370.22
09-08-2017,22852.94029,3420.4
10-08-2017,23849.49508,3341.84
11-08-2017,24636.8903,3373.82
12-08-2017,24470.16124,3650.63
13-08-2017,24629.87571,3880.04
14-08-2017,25264.86093,4066.1
15-08-2017,24623.07387,4326.99
16-08-2017,25604.5966,4200.34
17-08-2017,25621.43254,4384.44
18-08-2017,25692.53363,4324.34
19-08-2017,26985.85568,4137.75
20-08-2017,27068.28044,4189.31
21-08-2017,26841.24361,4090.48
22-08-2017,27822.48302,3998.35
23-08-2017,28568.25673,4089.01
24-08-2017,28846.88594,4137.6
25-08-2017,29442.89622,4332.82
26-08-2017,30708.76044,4372.06
27-08-2017,31056.87069,4345.1
28-08-2017,31344.20191,4384.45
29-08-2017,31342.94255,4389.21
30-08-2017,31826.86504,4570.36
31-08-2017,33583.3222,4555.59
01-09-2017,35011.64646,4701.76
02-09-2017,31815.57344,4901.42
03-09-2017,31813.01949,4585.27
04-09-2017,26829.21903,4591.63
05-09-2017,28525.22503,4228.29
06-09-2017,30973.92567,4376.59
07-09-2017,31473.39393,4589.14
08-09-2017,28208.78661,4605.16
09-09-2017,27745.08009,4229.81
10-09-2017,26870.02111,4229.34
11-09-2017,27418.01654,4122.47
12-09-2017,27114.44343,4168.88
13-09-2017,25784.53532,4131.98
14-09-2017,19357.34525,3875.37
15-09-2017,22494.59141,3166.3
16-09-2017,22483.74658,3637.75
17-09-2017,22416.35295,3606.28
18-09-2017,25431.73508,3591.09
19-09-2017,24572.11327,4073.79
20-09-2017,24124.4588,3916.36
21-09-2017,21914.00666,3901.47
22-09-2017,22334.89306,3628.02
23-09-2017,23362.93907,3629.92
24-09-2017,22733.75858,3796.15
25-09-2017,24326.97262,3681.58
26-09-2017,24219.01973,3928.41
27-09-2017,26089.923,3892.94
28-09-2017,25667.48154,4197.13
29-09-2017,25663.35898,4171.62
30-09-2017,26619.11551,4166.11
01-10-2017,26631.59795,4341.05
02-10-2017,26115.69642,4395.81
03-10-2017,26107.30814,4408.46
04-10-2017,25550.87854,4319.37
05-10-2017,26006.66206,4229.88
06-10-2017,26132.76607,4324.46
07-10-2017,26546.09599,4369.35
08-10-2017,26206.16531,4429.67
09-10-2017,25107.61947,4614.52
10-10-2017,25780.33501,4776.21
11-10-2017,26264.92418,4789.25
12-10-2017,26288.2112,4829.58
13-10-2017,27494.52862,5464.16
14-10-2017,27838.49534,5643.53
15-10-2017,27548.86134,5835.96
16-10-2017,27817.7106,5687.57
17-10-2017,27567.69547,5741.58
18-10-2017,26855.27494,5603.82
19-10-2017,26577.46628,5583.74
20-10-2017,26328.58262,5708.11
21-10-2017,26014.25996,5996.79
22-10-2017,25862.19113,6036.66
